File,Minor,Major,Total,Ownership,Bugs
BitUtil.java,46.0,0.0,46.0,0.21428572,0.0
TestTermRangeQuery.java,45.0,1.0,46.0,0.5405405,4.0
BinURLDataSource.java,46.0,0.0,46.0,0.33333334,0.0
AssociationIntSumFacetRequest.java,45.0,1.0,46.0,0.6923077,0.0
NorwegianLightStemFilterFactory.java,45.0,1.0,46.0,0.5,1.0
StringIndexDocValues.java,46.0,0.0,46.0,0.23809524,1.0
NotRequiredUniqueKeyTest.java,46.0,0.0,46.0,0.33333334,0.0
TestQueryTermVector.java,45.0,1.0,46.0,0.6666667,0.0
TermsComponentTest.java,45.0,1.0,46.0,0.5,0.0
ForPostingsFormat.java,45.0,1.0,46.0,1.0,0.0
SuggestMode.java,45.0,1.0,46.0,0.8,0.0
FilteredTermEnum.java,46.0,0.0,46.0,0.33333334,0.0
FilterCollector.java,46.0,0.0,46.0,0.25,1.0
TestLogWatcher.java,44.0,2.0,46.0,0.5,0.0
QueryResponse.java,46.0,0.0,46.0,0.22222222,0.0
LatLongDistanceFilter.java,46.0,0.0,46.0,0.23076923,0.0
AllDocsEnum.java,46.0,0.0,46.0,0.33333334,0.0
CharFilter.java,45.0,1.0,46.0,0.73333335,2.0
IntAssociationFacetField.java,45.0,1.0,46.0,0.5714286,0.0
DirectoryTaxonomyReader.java,46.0,0.0,46.0,0.39285713,3.0
AfterEffectB.java,45.0,1.0,46.0,0.5714286,0.0
SerializedStrategyTest.java,45.0,1.0,46.0,1.0,0.0
AltPackageTaskTest.java,45.0,1.0,46.0,0.5,0.0
TestMaxScoreQueryParser.java,45.0,1.0,46.0,0.6666667,0.0
IntSequenceOutputs.java,45.0,1.0,46.0,0.6666667,0.0
DirectSolrSpellCheckerTest.java,46.0,0.0,46.0,0.33333334,0.0
Replica.java,45.0,1.0,46.0,0.6666667,0.0
RangeFacetTest.java,45.0,1.0,46.0,0.5,1.0
SrndQueryTest.java,45.0,1.0,46.0,0.5,1.0
TestDocBuilder.java,46.0,0.0,46.0,0.26666668,0.0
ConstStringSource.java,45.0,1.0,46.0,1.0,0.0
HdfsSyncSliceTest.java,45.0,1.0,46.0,0.75,0.0
Log4jInfo.java,45.0,1.0,46.0,0.6666667,0.0
CSVParserTest.java,45.0,1.0,46.0,1.0,0.0
PackedDataInput.java,45.0,1.0,46.0,1.0,0.0
TestMultipleCategoryLists.java,46.0,0.0,46.0,0.46153846,1.0
AllGroupsCollector.java,45.0,1.0,46.0,1.0,0.0
FieldBoostMapFCListener.java,46.0,0.0,46.0,0.4,0.0
UpdateConflictResolver.java,45.0,1.0,46.0,1.0,0.0
RemoteTestCase.java,44.0,2.0,46.0,0.5,0.0
DocValues.java,46.0,0.0,46.0,0.2769231,5.0
CompositeBreakIterator.java,45.0,1.0,46.0,0.85714287,0.0
TestIndexingPerformance.java,46.0,0.0,46.0,0.2857143,1.0
TestGrouping.java,46.0,0.0,46.0,0.31944445,16.0
BJQParserTest.java,45.0,1.0,46.0,0.5,0.0
RemoteTestCaseJ4.java,45.0,1.0,46.0,1.0,0.0
